"nid","title","field_tipo_da_impress_o","field_ano","field_numero","field_preced_ncia","field__rea","field_respons_vel","field_tiragem","field_originais","field_formato","field_entrada","field_material_1","field_pre_o_1","field_material_2","field_pre_o_2","field_material_3","field_pre_o_3","field_material_4","field_pre_o_4","field_material_5","field_pre_o_5","field_material_6","field_pre_o_6","field_material_7","field_pre_o_7","field_observa_o","field_fonte"
"12371","PEQUENA ENTRODUÇÃO A TEORIA DAS OPERAÇÕES ENUNCIATIVA","","2010","44","HUMANITAS","ADM","HELENA","500","164","12X18","","52 CHAPAS POSITIVAS DUPLO OFICIO","","3.205FLS DE PAPEL OFF SET 75GRS 66X96","","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>INTEGRAL PARA HUMANITAS (RECOLHIMENTO NA TESOURARIA)</p>
",""
"12372","I ENCONTRO DE ESTUDOS DE PORTUGUÊS PARA FALANTES DE OUTRAS LINGUAS","","2010","46","DLCV","ACADÊMICA","PROFA.DRA. ROSANE DE SÁ AMADO","120","48","A5","","15 CHAPAS OFF SET DUPLO OFICIO","R$ 90.00","270 FLS DE PAPEL OFF SET 75 GRS 66 X 96","R$54.00","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESPONSÁVEL ;PROFA.DRA.ROSANE DE SÁ AMADO;FONTE PAGADORA:2010.1.4080.8.6</p>
",""
"12373","VI COLÓQUIO-OS ESTUDOS LEXICAIS EM DIFERENTES PERSPECTIVAS","","2010","47","DLCV","ACADEMICO","PROFA.DRA.IEDA MARIA ALVES","70","38","A5","","16 CHAPAS OFF SET DUPLO OFICIO","R$ 96.00","170 FLS DE PAPEL OFF SET 75 GRS 66 X 96","R$34.00","40 FLS COLOR PLUS 180 GRS","R$60.00","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESPONSÁVEL: PROFA. DRA. IEDA MARIA ALVES ( DLCV) FONTE PAGADORA 2010.1.3861.8.4</p>
",""
"12374","V. ENCONTRO DE PÓS-GRADUANDOS-EPOG","","2010","48","PÓS-GRADUAÇÃO","ADMINISTRTIVA","PROFA.DRA.VERA FELINI","600","340","A 5","09/11/2010","106 CHAPAS OFF SET DUPLO OFICIO","R$ 636.00","8.000 FLS PAPEL OFF SET 75 GRS 66 X 96","R$1600.00","500 FLS DE CARTOLINA 240 GRS 50 X 66 9(CAPA)","R$200.00","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESPONSÁVEL: PROFA.DRA. VERA FERLINI;( FONTE PAGADORA DIRETORIA )</p>
",""
"12375","","","2010","","","","","","","","","Folhas de Papel Sulfute 75grs 66x96","","Chapas positivas de Alumínio","","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","",""
"12276","Kronos Revista do CHC ( centro interunidade de  Hist.Ciência )","","2009","11","Humanitas","ADM","Helena","500","252","18x26","","120 Chapas de alumínio","R$ 582.00","10.000 fls de papel off set 75 grs 66x96","R$1800.00","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>Integral para a Administração</p>
",""
"12277","Memória e Diferença","","2009","14","Humanitas","ADM","Helena","500","392","14x21","10/03/2009","118 Chapas de alumínio","","7.650 fls de papel off set 75 grs 66x96","R$1377.00","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>Integral para a Humanitas ( recolhimento na Tesouraria )</p>
",""
"12278","INFORME - nº 50 março 2009","","2009","15","Serviço de Comunicação Social","ADM","Diretoria","1200","20","A4","","15 Chapas de Alumínio","","1.900 fls de papel Reciclato 75 grs 66x96","R$760.00","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>Responsável : Diretoria</p>
",""
"12279","Agenda Cultural - abril / maio / junho de 2009","","2009","16","Serviço de Cultura e Extensão Universitária","ADM","Serviço de Cultura e Extensão Universitária","2000","8","A5","","4 Chapas de Alumínio","","630 fls de papel off set 75 grs 66x96","","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>Responsável : SCE / FFLCH</p>
",""
"12280","O Estudo Analítico do Poema - 6º Edição","","2009","17","Humanitas","ADM","Helena","2000","164","14x21","","52 Chapas de Alumínio","","13.000 fls de papel off set 75 grs 66x96","R$2340.00","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>Recolher na Tesouraria</p>
",""
"12281","Encontro Paulista de Estudantes de Letras - EPEL 2009","","2009","18","Comissão Organizadora do  EPEL ( letras )","ACADÊMICA","DIRETORIA","900","3","A4 - A5","","20 CHAPAS DE ALUMINIO","R$ 97.00","80 FLS DE CARTOLINA 180GRS 54X65","","80 FLS DE CARTÃO VERGE 180GRS 66X96","","350 FLS DE PAPEL SULFITE 75GRS 66X96","R$63.00","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESP: ADMINISTRAÇÀO</p>
",""
"12282","Cadernos de Ética 12","","2009","19","Humanitas","ADM","Helena","200","180","16x22","09/04/2009","60 Chapas de Alumínio","R$ 291.00","1.700 fls de papel off set 75 grs 66x96","R$306.00","( CAPA ) 150 fls de Cartão 240 grs 50x66","R$48.00","Plastificação","R$45.00","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>Integral para a Administração</p>
",""
"12283","Revista África 24 , 25 e 26","","2009","20","Humanitas","ADM","Helena","400","456","16x22","09/04/2009","144 Chapas de Alumínio","","8.500 fls de papel off set 75 grs 66x96","R$1530.00","200 fls de Cartão Supremo 250 grs 66x96","R$84.00","Plastificação","R$45.00","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>Responsável : ADM e CEA<br />
Cada unidade sai por R$ 7,6615<br />
ADM ( 200 Exemplares ) R$ 1.523,3<br />
CEA ( 200 Exemplares ) R$ 1.523,3</p>
",""
"12284","Crianças e Narrativas","","2009","21","Humanitas","ADM","Helena","500","276","14x21","","90 Chapas de Alumínio","","5.390 fls de papel off set 66x96","","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>Integral para a Humanitas ( recolhimento na Tesouraria )</p>
",""
"12285","INFORME Nº 51- ABRIL DE 2009","","2009","22","SERVIÇO DE COMUNICAÇÀO SOCIAL","ADM","DIRETORIA","1200","16","A-4","","12 CHAPAS DE ALUMINO","","1500 FLS DE PAPEL RECICLADO 75GRS 66X96","R$600.00","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESP: DIRETORIA</p>
",""
"12286","JORNAL DO CEUPES","","2009","23","CEUPES","ADM","DIRETORIA","300","6","A3","","9 CHAPAS DE ALUMINIO DUPLO OFICIO","","340 FLS DE PAPEL OFF SET 75 GRS 66X96","","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESPONSAVEL DIRETORIA</p>
",""
"12287","Cadernos de Nietzsche 25","","2009","24","Humanitas","ADM","Helena","600","172","15,5x21","01/07/2009","54 Chapas de Alumínio","","4000 fls de papel off set 75grs 66x96","R$720.00","200 fls de cartão Cartagena 180grs 66x96","R$288.00","Plastificação","R$45.00","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>200 Exemplares para a ADM = R$ 569,79</p>
<p>400 Exemplares para Depto.de Filosofia R$ = 1.139,58</p>
",""
"12288","Revista Letras Classicas nº8","","2009","25","HUMANITAS","ADM","HELENA","500","196","16X22","02/07/2009","62 CHAPAS DE ALUMINIO POSITIVA DUPLO OFICIO","R$ 300.00","3900 FLS DE PAPEL OFFSET 75 GRS 66X96","R$702.00","350 FLS DE CARTÃO 240 GRS 55X66","R$112.00","LAMINAÇÃO FOSCA","R$150.00","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RECOLHER NA TESOURARIA</p>
",""
"12289","INFORME Nº 52","","2009","26","Serviço de Comunicação Social","ADM","DIRETORIA","1200","24","A4","","18 CHAPAS DE ALUMINIO","","2250 FLS DE PAPAEL RECICLADO 75GRS 66X96","R$900.00","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESP: DIRETORIA</p>
",""
"12290","Como Elaborar Citaçòes e Notas de Rodapés","","2009","27","HUMANITAS","ADM","HELENA","3000","74","14 X 21","","26 CHAPAS DE ALUMINIO","","8.700 fls de papael off-set 75grs 66 x 96","R$1566.00","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RECOLHIMENTO NA TESOURARIA</p>
",""
"12291","Caderno de Emérito - Prof. Dr. Alfredo Bosi","","2009","28","Serviço de Comunicaçãop Social","ADM","DIRETORIA","500","40","A5","06/08/2009","15 CHAPAS DE ALUMINIO","","800 FLS DE PAPAEL OFF-SET 75GRS 66X96","R$144.00","150 FLS DE COLOR PLUS MARFIN 120GRS","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESP: DIRETORIA</p>
",""
"12292","II COLÓQUIO INTERNACIONAL","","2009","29","DEPARTAMENTO DE HISTÓRIA","ACADÊMICA","PROCESSO: 2009.1.368.8.3","200","28","A5","06/08/2009","12 CHAPAS DE ALUMINIO","","270 FLS DE PAPEL OFF-SET 75GRS 66X96","","250 FLS DE CARTÃO 180 GRS 54X65","R$55.00","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESP: PROCESSO: 2009.1.368.8.3.- Prof. Francisco  Murari  Pires ( DH )</p>
",""
"12293","Catálogo de Cursos - Graduação 2009","","2009","30","Serviço de Alunos de Graduação","Acadêmica","Hilton José Soares","300","28","A5","","11 Chapas de Alumínio","","400 fls de papel off set 75 grs 66x96","R$72.00","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>Responsá ve : Servico de Alunos Graduação ( Hilton José Soares )</p>
",""
"12294","VIII Graduação em Campo : Seminário de Antropologia Urbana das Ciências Sociais","","2009","32","Antropologia","Acadêmica","Prccesso : 09.1.2857.8.1","350","112","A5","","42 Capas de Alumímio","","1840 fls de papel off set  75 grs 66x96","","260 fls de Cartolina amarela 180 grs 54x65","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>Responsável : Processo : 09.1.2857.8.1</p>
",""
"12295","Ciclo Presenças do Livro Francês no Brasil","","2009","33","D.L.M","ACADÊMICA","Área de Francês Prof:Dr.Veronica Galindez Jorge","240","72","A-5","","25 CHAPAS DE ALUMINIO","","1.200 fls de papael off-set 75grs 66x96","R$216.00","250 fls de cartolina 180grs 54x65","R$55.00","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESP; Área de Francês - Prof. Dr.Veronica Galindez Jorge.</p>
",""
"12296","Agenda Cultural de Outubro Novembro Dezembro de 2009","","2009","34","Serviço de Cultura e Extensão Universitária","ADM","Serviço de Cultura e Extensão Universitária","2500","12","A-5","01/09/2009","6 CHAPAS DE ALUMINIO","","1180 FLS DE PAPAEL OFF-SET 75GRS 66X96","","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESP: SERVIÇO DE CULTURA E EXTENSÃO UNIVERSITÁRIA</p>
",""
"12297","III Simpósio de Estudos Clássicos da USP","","2009","35","HUMANITAS","A.D.M","HELENA","500","252","16 X 22","01/09/2009","80 CHAPAS DE ALUMINIO","R$ 388.00","4.920 FLS DE PAPAEL OFF-SET 75GRS 66 X 96","","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RECOLHER NA TESOURARIA</p>
",""
